,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,50948356,199017,IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,0.0,,0.0,0.01,1,EQ,BSE,BSE
1,50948612,199018,HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
2,50948868,199019,ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
3,50949124,199020,MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,0.0,,0.0,0.01,1,EQ,BSE,BSE
4,50949380,199021,BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,0.0,,0.0,0.01,1,EQ,BSE,BSE
5,50949636,199022,AXISGOLDINV,INAVAXIS MUTUAL AXIS GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
6,50949892,199023,IDBIGDINAV,INAVIDBI MUTUAL - IDBI GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
7,50950148,199024,ICICISINAV,INAVICICI PRUDENTIMUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
8,50950404,199025,GOLDBSINAV,INAVNIPPON INDI ETFGOLDBEES,0.0,,0.0,0.01,1,EQ,BSE,BSE
9,50950660,199026,KOTAKGDINAV,INAVKOTAK MAHINDRA MUTUAL,0.0,,0.0,0.01,1,EQ,BSE,BSE
10,50950916,199027,SBIGETSINAV,INAVSBI MUTUAL GOLD EXC,0.0,,0.0,0.01,1,EQ,BSE,BSE
11,50951172,199028,QGOLDLFINV,INAVQUANTUM GOLDEXCHANGE T,0.0,,0.0,0.01,1,EQ,BSE,BSE
12,50951428,199029,GOLDSHAINV,INAVUTI  GOLD EXC,0.0,,0.0,0.01,1,EQ,BSE,BSE
13,50951684,199030,HNGSNGINAV,INAVNIPPONETF HANG SENG BEE,0.0,,0.0,0.01,1,EQ,BSE,BSE
14,50951940,199031,SILVERINAV,INAVADITYA BIRSUNLIFEMUTUAL,0.0,,0.0,0.01,1,EQ,BSE,BSE
15,50952196,199032,KTKSENSINAV,INAV KOTAK SENSEX ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
16,50952452,199033,SBISENSINAV,INAV- SBI ETF SENS,0.0,,0.0,0.01,1,EQ,BSE,BSE
17,50952708,199034,MOM100INAV,INAV - MOTILAL OSWAL MOST S,0.0,,0.0,0.01,1,EQ,BSE,BSE
18,50952964,199035,ICICINIINAV,INAV ICICIPRUDENTIAL NIFTY,0.0,,0.0,0.01,1,EQ,BSE,BSE
19,50953220,199036,ICICINFINAV,INAV ICICI PRUDENTIALNIFT,0.0,,0.0,0.01,1,EQ,BSE,BSE
20,50953476,199037,NIF100BINAV,INAV NIPPON INDIA ETF NIFTY,0.0,,0.0,0.01,1,EQ,BSE,BSE
21,50953732,199038,KOTAKNIINAV,INAV  - KOTAK NIFTY ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
22,50953988,199039,CPSEETFINAV,INAV- CPSE ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
23,50954244,199040,SENSEXBINAV,INAV NIPPO INDIA ETF SENSE,0.0,,0.0,0.01,1,EQ,BSE,BSE
24,50954500,199041,SETFBSEINAV,INAV - SBI ETF BSE 100,0.0,,0.0,0.01,1,EQ,BSE,BSE
25,50954756,199042,UTISENSINAV,INAV UTI- SENSEX ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
26,50955012,199043,UTINIFTINAV,INAV UTI NIFTY ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
27,50955268,199044,LICE50INAV,INAV -LIC MF ETF NIFTY 50,0.0,,0.0,0.01,1,EQ,BSE,BSE
28,50955524,199045,LICETFINAV,INAV -LIC MF ETF- SENSEX,0.0,,0.0,0.01,1,EQ,BSE,BSE
29,50955780,199046,HDNIFINAV,INAV HDFC NIFTY ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
30,50956036,199047,SXETFINAV,INAV HDFC SENSEX ETF - OPEN,0.0,,0.0,0.01,1,EQ,BSE,BSE
31,50956292,199048,LICFNHINAV,INAV -LIC MF ETF NIFTY 100,0.0,,0.0,0.01,1,EQ,BSE,BSE
32,50956548,199049,ICICINVINAV,INAV ICICI PRUDENTIAL NV20,0.0,,0.0,0.01,1,EQ,BSE,BSE
33,50956804,199050,ICICIMCINAV,INAV ICICI PRUDNTIAL MIDCA,0.0,,0.0,0.01,1,EQ,BSE,BSE
34,50957060,199051,BSLSENEINAV,INAV BIRLA SUN LIFE SENSEX,0.0,,0.0,0.01,1,EQ,BSE,BSE
35,50957316,199052,IDFSENSINAV,INAV IDFC SENSEX ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
36,50957572,199053,ICICILOINAV,INAV ICICI PRUDENTIL NIFTY,0.0,,0.0,0.01,1,EQ,BSE,BSE
37,50957828,199054,UTINEXTINAV,INAV UTI NIFTY NEXT 50 ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
38,50958084,199055,ICICIB2INAV,INAV BHARAT 22 ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
39,50958340,199056,LIQUIDEINAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
40,50958596,199057,ICICI50INAV,INAV ICICI PRUDENTIAL S&P B,0.0,,0.0,0.01,1,EQ,BSE,BSE
41,50958852,199058,ICICINXINAV,INAV ICICIPRUDENTIALNIFTY,0.0,,0.0,0.01,1,EQ,BSE,BSE
42,50959108,199059,ICICILIINAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
43,50959364,199060,SETFSN5INAV,INAV SBI - ETF - SENSEX NEX,0.0,,0.0,0.01,1,EQ,BSE,BSE
44,50959620,199061,MAN50ETINAV,INAV MIRAE ASSET NIFTY 50 E,0.0,,0.0,0.01,1,EQ,BSE,BSE
45,50959876,199062,ABSLNN5INAV,INAV ADITYA BIRLASUN LIFE,0.0,,0.0,0.01,1,EQ,BSE,BSE
46,50960132,199063,UTISXN5INAV,INAV UTI S&P BSE SENSEX NEX,0.0,,0.0,0.01,1,EQ,BSE,BSE
47,50960388,199064,ICICIPBINAV,INAV ICICI PRUDENTIAL BANK,0.0,,0.0,0.01,1,EQ,BSE,BSE
48,50960644,199065,SNXT50BINAV,INAV NIPPON INDIA ETF SENSE,0.0,,0.0,0.01,1,EQ,BSE,BSE
49,50960900,199066,ICICIBAINAV,INAV ICICI PRUDENTIAL PRIVA,0.0,,0.0,0.01,1,EQ,BSE,BSE
50,50961156,199067,ABSLBANINAV,INAV ADITYA BIRLA SUN LIFE,0.0,,0.0,0.01,1,EQ,BSE,BSE
51,50961412,199068,EBBET0INAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
52,50961668,199069,EBETF0INAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
53,50961924,199070,ICICIM1INAV,INAV ICICI PRUDENTIAL MIDCA,0.0,,0.0,0.01,1,EQ,BSE,BSE
54,50962180,199071,MANXT50INAV,INAV MIRAE ASSET NIFTY NEXT,0.0,,0.0,0.01,1,EQ,BSE,BSE
55,50962436,199072,EBBETAINAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
56,50962692,199073,EBBETF0INAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
57,50962948,199074,ICICIALINAV,INAV ICICI PRUDENTIAL ALPH,0.0,,0.0,0.01,1,EQ,BSE,BSE
58,50963204,199075,ICICITEINAV,INAV ICICI PRUDENTIAL IT ET,0.0,,0.0,0.01,1,EQ,BSE,BSE
59,50963460,199076,HBANKETINAV,INAV HDFC BANKING ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
60,50963716,199077,UTIBANKINAV,INAV UTI BANK EXCHANGE TRAD,0.0,,0.0,0.01,1,EQ,BSE,BSE
61,50963972,199078,MAESGETINAV,INAV MIRAE ASSET ESG SECTOR,0.0,,0.0,0.01,1,EQ,BSE,BSE
62,50964228,199079,MOGSECINAV,,0.0,,0.0,0.01,1,EQ,BSE,BSE
63,50964484,199080,INFRABEINAV,INAV NIPPON INDIA  ETF INFR,0.0,,0.0,0.01,1,EQ,BSE,BSE
