instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
132440068,517344,MINDTECK,MINDTECK (INDIA),0,,0.0,0.05,1,EQ,BSE,BSE
4620545,18049,MINDTECK,MINDTECK (INDIA),0,,0.0,0.01,1,EQ,NSE,NSE
139142916,543527,PRUDENT,PRUDENT CORPORATE ADVISORY SER,0,,0.0,0.05,1,EQ,BSE,BSE
2445569,9553,PRUDENT,PRUDENT CORP ADV SER,0,,0.0,0.1,1,EQ,NSE,NSE
139175428,543654,MEDANTA,GLOBAL HEALTH ,0,,0.0,0.05,1,EQ,BSE,BSE
3060737,11956,MEDANTA,GLOBAL HEALTH,0,,0.0,0.1,1,EQ,NSE,NSE
128102404,500400,TATAPOWER,TATA POWER CO.LTD.,0,,0.0,0.05,1,EQ,BSE,BSE
877057,3426,TATAPOWER,TATA POWER CO,0,,0.0,0.05,1,EQ,NSE,NSE
139248644,543940,JIOFIN,JIO FINANCIAL SERVICES ,0,,0.0,0.05,1,EQ,BSE,BSE
4644609,18143,JIOFIN,JIO FIN SERVICES,0,,0.0,0.05,1,EQ,NSE,NSE
139097604,543350,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMIT,0,,0.0,0.05,1,EQ,BSE,BSE
1429761,5585,VIJAYA,VIJAYA DIAGNOSTIC CEN,0,,0.0,0.1,1,EQ,NSE,NSE
136330244,532540,TCS,TATA CONSULTANCY SERVICES,0,,0.0,0.05,1,EQ,BSE,BSE
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0.0,0.1,1,EQ,NSE,NSE
151040772,590003,KARURVYSYA,KARUR VYSYA BANK,0,,0.0,0.05,1,EQ,BSE,BSE
470529,1838,KARURVYSYA,KARUR VYSYA BANK,0,,0.0,0.05,1,EQ,NSE,NSE
128008452,500033,FORCEMOT,FORCE MOTORS,0,,0.0,0.05,1,EQ,BSE,BSE
2962689,11573,FORCEMOT,FORCE MOTORS,0,,0.0,5.0,1,EQ,NSE,NSE
134195204,524200,VINATIORGA,VINATI ORGANICS,0,,0.0,0.05,1,EQ,BSE,BSE
4445185,17364,VINATIORGA,VINATI ORGANICS,0,,0.0,0.1,1,EQ,NSE,NSE
138054660,539276,KAYA,KAYA ,0,,0.0,0.05,1,EQ,BSE,BSE
2630657,10276,KAYA,KAYA,0,,0.0,0.05,1,EQ,NSE,NSE
128104452,500408,TATAELXSI,TATA ELXSI,0,,0.0,0.05,1,EQ,BSE,BSE
873217,3411,TATAELXSI,TATA ELXSI,0,,0.0,0.1,1,EQ,NSE,NSE
128034052,500133,ESABINDIA,ESAB INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
244481,955,ESABINDIA,ESAB INDIA,0,,0.0,0.5,1,EQ,NSE,NSE
128084740,500331,PIDILITIND,PIDILITE INDUSTRIES,0,,0.0,0.05,1,EQ,BSE,BSE
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0.0,0.1,1,EQ,NSE,NSE
130000644,507815,GILLETTE,GILLETTE INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
403457,1576,GILLETTE,GILLETTE INDIA,0,,0.0,0.5,1,EQ,NSE,NSE
128079876,500312,ONGC,OIL AND NATURAL GAS CORPORATIO,0,,0.0,0.05,1,EQ,BSE,BSE
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0.0,0.05,1,EQ,NSE,NSE
